Category: All categories

Week,pumpkin spice: (United States)
2018-10-14,47
2018-10-21,41
2018-10-28,37
2018-11-04,26
2018-11-11,28
2018-11-18,51
2018-11-25,12
2018-12-02,9
2018-12-09,8
2018-12-16,8
2018-12-23,9
2018-12-30,5
2019-01-06,5
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,3
2019-02-10,3
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,2
2019-06-23,2
2019-06-30,2
2019-07-07,3
2019-07-14,3
2019-07-21,5
2019-07-28,7
2019-08-04,11
2019-08-11,33
2019-08-18,40
2019-08-25,76
2019-09-01,62
2019-09-08,52
2019-09-15,43
2019-09-22,47
2019-09-29,50
2019-10-06,46
2019-10-13,42
2019-10-20,41
2019-10-27,38
2019-11-03,29
2019-11-10,24
2019-11-17,25
2019-11-24,45
2019-12-01,11
2019-12-08,9
2019-12-15,8
2019-12-22,10
2019-12-29,5
2020-01-05,4
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,4
2020-02-09,3
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,2
2020-03-15,3
2020-03-22,4
2020-03-29,4
2020-04-05,4
2020-04-12,3
2020-04-19,3
2020-04-26,3
2020-05-03,3
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,2
2020-06-07,3
2020-06-14,3
2020-06-21,2
2020-06-28,3
2020-07-05,4
2020-07-12,4
2020-07-19,6
2020-07-26,8
2020-08-02,14
2020-08-09,22
2020-08-16,37
2020-08-23,66
2020-08-30,53
2020-09-06,52
2020-09-13,55
2020-09-20,58
2020-09-27,58
2020-10-04,54
2020-10-11,46
2020-10-18,47
2020-10-25,47
2020-11-01,28
2020-11-08,29
2020-11-15,30
2020-11-22,57
2020-11-29,12
2020-12-06,10
2020-12-13,11
2020-12-20,14
2020-12-27,7
2021-01-03,6
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,3
2021-02-28,3
2021-03-07,3
2021-03-14,3
2021-03-21,3
2021-03-28,3
2021-04-04,2
2021-04-11,3
2021-04-18,3
2021-04-25,2
2021-05-02,3
2021-05-09,3
2021-05-16,3
2021-05-23,3
2021-05-30,2
2021-06-06,2
2021-06-13,2
2021-06-20,3
2021-06-27,3
2021-07-04,4
2021-07-11,4
2021-07-18,6
2021-07-25,10
2021-08-01,20
2021-08-08,27
2021-08-15,46
2021-08-22,77
2021-08-29,52
2021-09-05,48
2021-09-12,44
2021-09-19,51
2021-09-26,52
2021-10-03,46
2021-10-10,45
2021-10-17,44
2021-10-24,40
2021-10-31,33
2021-11-07,26
2021-11-14,28
2021-11-21,48
2021-11-28,12
2021-12-05,10
2021-12-12,9
2021-12-19,12
2021-12-26,7
2022-01-02,6
2022-01-09,6
2022-01-16,5
2022-01-23,5
2022-01-30,4
2022-02-06,4
2022-02-13,4
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,3
2022-04-03,3
2022-04-10,3
2022-04-17,3
2022-04-24,3
2022-05-01,3
2022-05-08,2
2022-05-15,3
2022-05-22,2
2022-05-29,3
2022-06-05,2
2022-06-12,2
2022-06-19,3
2022-06-26,3
2022-07-03,4
2022-07-10,5
2022-07-17,6
2022-07-24,9
2022-07-31,23
2022-08-07,35
2022-08-14,62
2022-08-21,73
2022-08-28,97
2022-09-04,62
2022-09-11,59
2022-09-18,57
2022-09-25,66
2022-10-02,61
2022-10-09,52
2022-10-16,50
2022-10-23,49
2022-10-30,37
2022-11-06,28
2022-11-13,31
2022-11-20,52
2022-11-27,13
2022-12-04,11
2022-12-11,9
2022-12-18,13
2022-12-25,8
2023-01-01,6
2023-01-08,5
2023-01-15,5
2023-01-22,5
2023-01-29,4
2023-02-05,4
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,3
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,4
2023-07-09,5
2023-07-16,6
2023-07-23,9
2023-07-30,20
2023-08-06,36
2023-08-13,53
2023-08-20,100
2023-08-27,70
2023-09-03,71
2023-09-10,76
2023-09-17,74
2023-09-24,71
2023-10-01,60
